代码,日期,收盘,行业名称,日涨跌幅,市场环境,沪深300涨跌幅,超额收益,行业分组
801040,2024-10-25,2075.79,钢铁,0.01375248457973366,上涨期,0.0070219324669691385,0.006730552112764521,周期类
801040,2024-10-28,2184.01,钢铁,0.052134368120089425,上涨期,0.001955302532263392,0.05017906558782603,周期类
801040,2024-10-29,2108.69,钢铁,-0.03448702157957162,上涨期,-0.009966305572660317,-0.024520716006911303,周期类
801040,2024-10-30,2112.92,钢铁,0.002005984758309598,上涨期,-0.008968954930746675,0.010974939689056273,周期类
801040,2024-10-31,2134.59,钢铁,0.010255949113075813,上涨期,0.0004090553700537569,0.009846893743022056,周期类
801040,2024-11-01,2172.34,钢铁,0.01768489499154402,上涨期,-0.00026214071302277375,0.017947035704566794,周期类
801040,2024-11-04,2159.61,钢铁,-0.005860040325179283,震荡期,0.014072421221484666,-0.01993246154666395,周期类
801040,2024-11-05,2234.01,钢铁,0.03445066470334934,震荡期,0.025302160181019717,0.009148504522329626,周期类
801040,2024-11-06,2251.26,钢铁,0.007721541085312866,震荡期,-0.005016598785582582,0.012738139870895449,周期类
801040,2024-11-07,2304.84,钢铁,0.023800005330348206,震荡期,0.03016984640493714,-0.006369841074588933,周期类
801040,2024-11-08,2281.13,钢铁,-0.010287048124815623,上涨期,-0.010046083949735829,-0.00024096417507979417,周期类
801040,2024-11-11,2265.09,钢铁,-0.007031602758282074,震荡期,0.006599339627445966,-0.01363094238572804,周期类
801040,2024-11-12,2233.61,钢铁,-0.013897902511599947,上涨期,-0.01098682176866339,-0.002911080742936556,周期类
801040,2024-11-13,2228.95,钢铁,-0.002086308711010565,上涨期,0.006154816883979342,-0.008241125594989906,周期类
801040,2024-11-14,2168.47,钢铁,-0.027133852262275937,上涨期,-0.01733712164519119,-0.009796730617084748,周期类
801040,2024-11-15,2137.56,钢铁,-0.01425428989102906,震荡期,-0.017523434759565193,0.0032691448685361335,周期类
801040,2024-11-18,2165.98,钢铁,0.013295533224798373,震荡期,-0.0046487240197429225,0.017944257244541295,周期类
801040,2024-11-19,2164.49,钢铁,-0.000687910322348384,震荡期,0.006710745115471095,-0.007398655437819479,周期类
801040,2024-11-20,2179.16,钢铁,0.0067775780899888005,震荡期,0.002233402927060313,0.004544175162928488,周期类
801040,2024-11-21,2183.37,钢铁,0.0019319370766717192,震荡期,0.0008843955739574749,0.0010475415027142443,周期类
801040,2024-11-22,2113.39,钢铁,-0.03205137012966197,震荡期,-0.03098264406419371,-0.0010687260654682618,周期类
801040,2024-11-25,2124.58,钢铁,0.005294810706968356,震荡期,-0.00455493301470189,0.009849743721670245,周期类
801040,2024-11-26,2107.2,钢铁,-0.008180440369390696,震荡期,-0.0020545252178287843,-0.0061259151515619115,周期类
801040,2024-11-27,2125.34,钢铁,0.008608580106302277,震荡期,0.017410619540464856,-0.008802039434162579,周期类
801040,2024-11-28,2132.19,钢铁,0.003223013729567903,震荡期,-0.008828667189653583,0.012051680919221486,周期类
801040,2024-11-29,2143.51,钢铁,0.005309095343285719,震荡期,0.01137028279291874,-0.006061187449633021,周期类
801040,2024-12-02,2206.03,钢铁,0.029167113752676777,震荡期,0.007927573601784976,0.0212395401508918,周期类
801040,2024-12-03,2198.51,钢铁,-0.0034088385017428946,震荡期,0.0010788746266114924,-0.004487713128354387,周期类
801040,2024-12-04,2200.74,钢铁,0.0010143233371691096,震荡期,-0.005398428246123244,0.006412751583292353,周期类
801040,2024-12-05,2218.33,钢铁,0.00799276606959487,下跌期,-0.002281864885816387,0.010274630955411257,周期类
801040,2024-12-06,2263.78,钢铁,0.020488385407040566,震荡期,0.013145950059006761,0.0073424353480338045,周期类
801040,2024-12-09,2277.26,钢铁,0.005954642235552976,震荡期,-0.001653603534332193,0.007608245769885169,周期类
801040,2024-12-10,2277.07,钢铁,-8.343360002815992e-05,震荡期,0.007327739753051343,-0.007411173353079503,周期类
801040,2024-12-11,2316.86,钢铁,0.01747421027899887,震荡期,-0.0017033579376705132,0.019177568216669383,周期类
801040,2024-12-12,2298.92,钢铁,-0.007743238693749377,震荡期,0.009946272479330442,-0.01768951117307982,周期类
801040,2024-12-13,2245.81,钢铁,-0.023102152315000124,震荡期,-0.0236623759930793,0.0005602236780791747,周期类
801040,2024-12-16,2225.45,钢铁,-0.009065771369795361,震荡期,-0.005425379610040859,-0.003640391759754502,周期类
801040,2024-12-17,2198.28,钢铁,-0.012208766766271806,震荡期,0.002605166568588446,-0.014813933334860252,周期类
801040,2024-12-18,2224.98,钢铁,0.012145859490146682,震荡期,0.005062935472496033,0.007082924017650649,周期类
801040,2024-12-19,2212.49,钢铁,-0.00561353360479655,震荡期,0.000906671672725512,-0.006520205277522062,周期类
801040,2024-12-20,2182.73,钢铁,-0.013450908252692573,震荡期,-0.004491233477228462,-0.00895967477546411,周期类
801040,2024-12-23,2153.07,钢铁,-0.01358848781113553,震荡期,0.0014838034250703735,-0.015072291236205904,周期类
801040,2024-12-24,2179.51,钢铁,0.012280139521706257,震荡期,0.0127405828595486,-0.00046044333784234226,周期类
801040,2024-12-25,2153.93,钢铁,-0.011736582993425282,震荡期,0.0004872369522914699,-0.012223819945716752,周期类
801040,2024-12-26,2154.2,钢铁,0.00012535226307264224,震荡期,0.0004644185397084666,-0.00033906627663582434,周期类
801040,2024-12-27,2158.6,钢铁,0.0020425215857395873,震荡期,-0.0016173121871457807,0.003659833772885368,周期类
801040,2024-12-30,2146.24,钢铁,-0.005725933475400735,震荡期,0.0045274703964877094,-0.010253403871888445,周期类
801040,2024-12-31,2102.31,钢铁,-0.020468353958550733,震荡期,-0.016039789400245752,-0.0044285645583049815,周期类
801780,2021-02-02,3979.66,银行,-0.012535420254182195,震荡期,0.015402255739021653,-0.027937675993203848,防御类
